1	having lived in madison for a few years now i realized the other night i have never eaten at merchant i ve only drank there merchant is perfect for the first drink of the night or the last drink of the night i would vote that it is perfect for the first drink of the night as it tends to become very packed as the night goes on i started my night there around 9 pm last saturday night and it already was shoulder to shoulder in there i did manage to find some standing room around one of the bar tables to enjoy my drink every time i enter merchant i have the intention of ordering a new seasonal drink but every time i end up ordering 1 of 3 standbys the aviation the bees knees or the regret and each time i never regret that decision the bartenders are good nay great at what they do the other staff seems might aloof when asking them questions or for help navigating a spot to stand get a drink will i be back duh
1	first of all i ve been recommending this place repeatedly to everyone i know since it opened a couple of months ago it s really close to my apartment and i love it so i want everyone else to go and ensure its success so i can keep eating there the menu is very simple but it offers a wide array of choices a previous reviewer complained that they had to make too many decisions but i see that as a positive the menu allows you to mix and match pastas or cuts of meat fish chicken steak portobella for vegetarians with various sauces all of which are really delicious you can also do a build your own pizza and i know from experience that they re very accommodating about doing a topping that s not actually on the menu bleu wasn t listed in the cheeses but they were happy to put it on a pizza for me their breakfast menu is a similar model but they have nice classic entrees like eggs benedict and scramblers i got one made with only egg whites they also offer egg beaters and it was delicious and huge i saved half of it for breakfast the next day and it reheated well this is typical of their entrees the prices are quite reasonable 10 16 for most entrees and virtually everything will make at least two meals their biscuits are awesome i highly recommend them as a side i also particularly recommend their coffee i had the medium roast they also have a dark one their pesto sauce for pasta their eggplant meatballs delicious even to non vegetarians like me and my boyfriend their french fries moderately thick cut and their wine selection 5 8 a glass and all very nice i would avoid their bacon not very crisp and the pomegranate martini almost bitter and not very strong it does seem to me that a lot of their staff is fairly new but everyone who s served me there has been very friendly and attentive and worked very hard to ensure that i had a great meal there i haven t had a chance to try their bag lunches but they look good you can also build your own sandwich at lunchtime they also do take out so you can call ahead and place an order to pick up which is easy and fast
0	wow i was really not impressed with the food here maybe i made a mistake of coming here for lunch instead of dinner and for ordering a burger because it was one of the worst burgers i ve ever had interestingly enough what it shares with the other terrible burgers i can recall is that they were all made from grass fed beef i thought that would taste better not worse the warm chips that come with the burger were pretty good but they could have served a third of the amount and been fine there s no way any human being could consume that much grease in one sitting based on my experience i really don t understand the appeal of this place visited may 17 2012
0	warning do not order from here starving and exhausted after driving cross country 3500 miles all my boyfriend and i wanted was some yummy chicken chow mein delivered to us after eating nothing but pb j and bad gas station food for 7 days straight what was delivered to us was nothing resembling chicken chow mein i don t even know what it was but chicken chow mein has been my favorite chinese meal since childhood so i know what it is even in all of its slightly varying forms and this was not it we called the place to explain the mistake and they tried to tell us that their chicken chow mein is just different and refused to replace it for us or even give us money off of our order we are extremely easygoing reasonable people when it comes to stuff like this as my boyfriend has delivered pizzas for years and i have an extensive retail and customer service background we get that mistakes are sometimes made and we approached this mistake in a very understanding manner unfortunately this place does not seem to give two sh ts about their customers don t insult me by trying to convince me that i don t know what chow mein is a hole whatever we did get which we were stuck with tasted terrible so the mistake and the complete lack of customer service that followed aside i wouldn t even recommend this place as suitable food for human consumption
0	normally i don t review chain restaurants but due to the new release of taco bell s breakfast i decided to break with tradition first i visited this location around 9am the customer service was a little lacking i had to repeat my order three times then was told they were out of eggs ugh i decided to wait for them to make some more after all how do you eat a breakfast burrito without eggs i was told 10 minutes which turned out to be more like 30 minutes i got one of each of the new items waffle taco breakfast burrito and a crunchwrap the waffle taco could have been better i would recommend syrup with it none provided the waffle was greasy and soggy i had high hopes but they were dashed hopefully they work out the kinks from this one the burrito was average no salsa provided which would have gone a long way i ve had much better breakfast burritos i would even say i prefer mc donald s to taco bell s the crunch wrap was my favorite it had a thin layer of hash browns i got it bacon and it was delicious this saved my faith in taco bell if you want to try something this is the one to get overall it was a disappointing visit but the breakfast crunchwrap saved the day
0	i went there for breakfast on a sunday and we were seated immediately which was nice the food was horrible i ordered french toast with berries on sourdough bread the bread looked like loaf supermarket bread and didnot appear to be coated in egg or anything to suggest that it was now french toast there were 5 pieces of berries 4 blueberries and 1 strawberry that was cut in half the maple syrup or syrup that can with the meal was served in a plastic cup and was very watery i really could have toasted some bread at home and it would have been nicer horrible food and expensive for what it is my husband ordered scramble eggs which looked horrible also will not go there again
0	yet another establishment overrated on yelp when we arrived we saw no one for the first 10 minutes the very small dining room was moderately full but no staff to be found ten minutes after arriving a young lady clearly busy tossed two menus on the table without saying a word 10 15min later we ordered menu is lacking many choices i ordered the carne asana tacos my favorite mexican classic the meat was tender but there was a lot of grissle and little flavor chips and salsa were good my daughter ordered chicken enchiladas mole and basically ate the chicken out of the tortillas and nothing else but the rice she is mexican and knows what it should taste like and she wouldn t eat it i had a glass of sangria which was good but overall this was not a good experience it s a little hole in the wall but lacks menu choices and the service and food are both mediocre won t be back
1	my girlfriend and i checked this place out purely on the positive yelp review and were not disappointed it s a cozy space with giant glass windows overlooking the traffic on the capitol loop making for a nice people watching spot crepes sounded like the perfect breakfast i had the egg sausage and cheese and she had the egg pesto and mozzarella both were great and i was pleasantly surprised by the spicy sausage and occasional explosions of salt and pepper tucked away next time we might try one of the sweet varieties the service was a bit sleepy in the morning but they might have had a rough saturday night
1	a great date night destination nice view hip room and good service the food is on the pricey side though portions aren t bad the cheddar risotto cake has stood up as good two times something keeps it from being great though perhaps a lack of additional sauce or a nibble on the side potato leek soup is very good but was served lukewarm both times perhaps that s how it s served but i like my soup hot and i don t think that s being picky the panko crusted salmon is a wonderful simple dish that could potentially be prepared at home it manages to be very good yet misses impressive that said i d eat it again and again their gnocchi is great i just wish there was more per serving but this is a pretty regular occurrence with handmade pasta at any restaurant if prices were a little lower here i d give it 5 stars you re paying to eat on top of the museum and for the fancy room but the food is basically just solid and tasty homestyle fare with a few flairs indeed it s a strength of the restaurant that it manages to avoid pretense in spite of its surroundings
0	i m really conflicted with reviewing the old fashioned because i had day and night experiences i went a year ago for a nice casual dinner with my sister and really enjoyed it i ve always heard such great things about this place from locals well i came back to visit madison again recently and i took my parents here which turned out to be an awful dinner although my food turned out to be good and i enjoyed it my mom had a real issue with their steak i get that this place is more a casual dining experience with an emphasis on sandwiches and apps but if you have a ribeye steak on your menu for almost 30 i d expect your chef to be able to cook it properly my mom ordered it to be medium rare which i think is pretty standard for steaks and when they brought it out it was more well done we informed our server who took it back and later brought out a new steak which also turned out to be overcooked at this point this is just a bit ridiculous for a 30 steak finally the manager mitch i believe his name is came by and basically said oh well we ll comp it but that s all i can do and walked away no apology no polite customer service just basically rude and giving us the message that we were inconveniencing him hence the two stars i cannot stand such rude service and its such a shame because i love their cheese curds but i honestly just cannot see myself coming back here for dinner maybe for a drink but whenever we come to visit my sister from now on we ll steer clear of this place for sure
1	decided to venture from verona all the way to the east side based on the number of positive reviews on yelp was not dissappointed takumi is located in a nondescript strip mall around east town mall we walked in about 5 45 and grabbed 3 seats at the sushi bar the cold spinach appetizer was served broken up and slathered with a sesame dressing a little different but a cool and fresh start to the meal my sons had the fried gyoza good and the disappeared quickly my older son and i are sushi fans and we ordered an assortment of nigiri and rolls in my opinion good sushi is defined by texture and temperature of the fish the fish here was silky and soft and served just a bit above cool nice too many sushi places serve their fish too cold destroying the subtle differences in flavor the portions of fish in the nigiri and hand rolls was also really big no skimping here overall i would ranks takumi a notch behind muramoto for best place in madison it is better than takara on the west side and blows away anything else on the list it s 15 miles from my house but i would definitely stop there again when on the east side
0	i had been to this bar several times during their lunch hours and never had a problem i brought a friend who had never been to the library to have a drink on a friday night and received terrible treatment from the bartender on staff upon asking for our drinks the bartender asked to see our ids i provided my out of state id only for the bartender to tell me i ll serve you only if you promise that if the cops come you won t admit that this is a fake id i told the bartender my id was legitimate and offered to give him several different forms of id to which he said i was under 21 once i know how easy it is to get fake forms of identification after being verbally harassed by the bartender my friend and i decided to take our business elsewhere i am several years over the legal drinking age and have never had this problem with any other bar in madison the bartender was a patronizing ass hole who got his excitement off of asserting his authority over the bar and hassling legal and willing customers i will never go back to the library and will urge my engineering colleagues to do the same
1	was more than pleasantly surprised i m not a beer person so i was hesitant when a friend suggested meeting up here they have an extensive food selection and the staff was happy to sub things when needed i worked as a bartender before and i was still pretty amazed at how knowledgable the staff is about their huge beer selection one even found one that i liked for me the mac n cheese was amazing and a very large portion i would recommend going wish they had a few more options though for those who do not like beer but it was still a wonderful dining experience with quick amazing service
